uid,theme,pub_year,summary
13077697,forest,1953,"DICK GW.Epidemiological notes on some viruses isolated in Uganda; Yellow fever, Rift Valley fever, Bwamba fever, West Nile, Mengo, Semliki forest, Bunyamwera, Ntaya, Uganda S and Zika viruses. Trans R Soc Trop Med Hyg. 1953 Jan; 47(1):13-48. "
14230895,forest,1964,"HADDOW AJ, WILLIAMS MC, WOODALL JP, SIMPSON DI, GOMA LK.TWELVE ISOLATIONS OF ZIKA VIRUS FROM AEDES (STEGOMYIA) AFRICANUS (THEOBALD) TAKEN IN AND ABOVE A UGANDA FOREST. Bull World Health Organ. 1964; 31:57-69. "
4378566,forest,1965,"Goma LK.The flight activity of some East African mosquitos (Diptera, Culicidae). I. Studies on a high steel tower in Zika Forest, Uganda. Bull Entomol Res. 1965 Oct; 56(1):17-35. "
407675,forest,1977,"Kirya BG.A yellow fever epizootic in Zika forest, Uganda, during 1972: Part 1: Virus isolation and sentinel monkeys. Trans R Soc Trop Med Hyg. 1977; 71(3):254-60. "
413216,forest,1977,"Kirya BG, Okia NO.A yellow fever epizootic in Zika Forest, Uganda, during 1972: Part 2: Monkey serology. Trans R Soc Trop Med Hyg. 1977; 71(4):300-3. "
24605459,forest,2014,"Kaddumukasa MA, Mutebi JP, Lutwama JJ, Masembe C, Akol AM.Mosquitoes of Zika Forest, Uganda: species composition and relative abundance. J Med Entomol. 2014 Jan; 51(1):104-13. "
27942961,forest,2017,"Most B, Pommier de Santi V, Pagès F, Mura M, Uedelhoven WM, Faulde MK.Long-lasting permethrin-impregnated clothing: protective efficacy against malaria in hyperendemic foci, and laundering, wearing, and weathering effects on residual bioactivity after worst-case use in the rain forests of French Guiana. Parasitol Res. 2017 Feb; 116(2):677-684. "
28253231,forest,2017,"Cragan JD, Mai CT, Petersen EE, Liberman RF, Forestieri NE, Stevens AC, Delaney A, Dawson AL, Ellington SR, Shapiro-Mendoza CK, Dunn JE, Higgins CA, Meyer RE, Williams T, Polen KN, Newsome K, Reynolds M, Isenburg J, Gilboa SM, Meaney-Delman DM, Moore CA, Boyle CA, Honein MA.Baseline Prevalence of Birth Defects Associated with Congenital Zika Virus Infection - Massachusetts, North Carolina, and Atlanta, Georgia, 2013-2014. MMWR Morb Mortal Wkly Rep. 2017 Mar 3; 66(8):219-222. "
28317856,birds,2017,"Priye A, Bird SW, Light YK, Ball CS, Negrete OA, Meagher RJ.A smartphone-based diagnostic platform for rapid detection of Zika, chikungunya, and dengue viruses. Sci Rep. 2017 Mar 20; 7:44778. "
28716770,birds,2017,"Nasrinpour HR, Reimer AA, Friesen MR, McLeod RD.Data Preparation for West Nile Virus Agent-Based Modelling: Protocol for Processing Bird Population Estimates and Incorporating ArcMap in AnyLogic. JMIR Res Protoc. 2017 Jul 17; 6(7):e138. "
