year,n
1952,2
1953,2
1954,1
1955,1
1956,2
1958,1
1964,2
1965,1
1969,1
1970,1
1971,2
1972,1
1973,2
1975,2
1976,1
1977,3
1978,2
1979,1
1980,1
1981,3
1982,2
1983,3
1984,1
1986,1
1987,1
1988,1
1989,2
1991,1
1993,1
1994,2
1996,3
1998,3
1999,1
2001,2
2003,1
2007,1
2008,5
2009,3
2010,2
2011,1
2012,5
2013,3
2014,27
2015,37
2016,1641
2017,1626
2018,4
